fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1997-03-01,Marzo,1,22.6,22.6,1997,1997
1997-03-02,Marzo,2,22.6,22.0,1997,1967
2015-03-03,Marzo,3,24.2,23.4,2015,2019
2007-03-04,Marzo,4,24.5,24.2,2007,1977
1998-03-05,Marzo,5,23.5,22.5,1998,1960
2001-03-06,Marzo,6,26.8,24.0,2001,1998
1998-03-07,Marzo,7,23.2,23.0,1998,1981
1981-03-08,Marzo,8,23.2,22.4,1981,2000
2017-03-09,Marzo,9,25.4,23.4,2017,2000
2017-03-10,Marzo,10,26.8,25.7,2017,1957
2020-03-11,Marzo,11,27.4,27.4,2020,2020
2003-03-12,Marzo,12,26.6,26.1,2003,2020
1983-03-13,Marzo,13,24.8,24.8,1983,2023
2012-03-14,Marzo,14,24.2,23.8,2012,2009
2019-03-15,Marzo,15,24.1,22.8,2019,2023
2019-03-16,Marzo,16,24.7,23.6,2019,1977
2024-03-17,Marzo,17,25.1,24.2,2024,1957
1961-03-18,Marzo,18,25.5,25.2,1961,1997
2024-03-19,Marzo,19,27.5,25.8,2024,1957
2002-03-20,Marzo,20,24.5,24.4,2002,2005
2002-03-21,Marzo,21,26.8,24.7,2002,1965
2001-03-22,Marzo,22,28.8,26.5,2001,1952
2001-03-23,Marzo,23,30.0,25.7,2001,2002
1955-03-24,Marzo,24,28.3,24.8,1955,1981
1981-03-25,Marzo,25,27.4,25.6,1981,1988
1988-03-26,Marzo,26,26.0,25.6,1988,2006
2006-03-27,Marzo,27,25.0,24.6,2006,2009
2015-03-28,Marzo,28,24.1,23.4,2015,2018
2023-03-29,Marzo,29,26.7,22.6,2023,1995
2023-03-30,Marzo,30,26.9,26.2,2023,2016
1980-03-31,Marzo,31,27.0,27.0,1980,2015
