fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2022-01-01,Enero,1,22.3,18.8,2022,1967
2022-01-02,Enero,2,20,19,2022,2007
2022-01-03,Enero,3,21.1,19,2022,2007
2015-01-04,Enero,4,19.3,18.2,2015,1999
2001-01-05,Enero,5,20.8,20.6,2001,1999
2012-01-06,Enero,6,20.5,20,2012,1999
2005-01-07,Enero,7,18.7,18.5,2005,1957
2014-01-08,Enero,8,22,18.6,2014,2016
1982-01-09,Enero,9,19.2,18.8,1982,2014
2015-01-10,Enero,10,19,18.6,2015,1971
2004-01-11,Enero,11,19,18,2004,1997
2004-01-12,Enero,12,20.5,19.6,2004,2007
2007-01-13,Enero,13,18.4,18,2007,2015
2011-01-14,Enero,14,19,18,2011,2007
1956-01-15,Enero,15,19.4,19,1956,2011
2005-01-16,Enero,16,18.4,17.4,2005,1951
1968-01-17,Enero,17,19.6,19,1968,2018
2010-01-18,Enero,18,20.5,18,2010,2021
2007-01-19,Enero,19,22.1,19.6,2007,2008
2007-01-20,Enero,20,21,20.4,2007,2008
2005-01-21,Enero,21,20.2,19.2,2005,2008
2008-01-22,Enero,22,21.2,19,2008,1981
2018-01-23,Enero,23,21.6,20.6,2018,2016
2016-01-24,Enero,24,21.4,20,2016,1959
1959-01-25,Enero,25,23.4,20,1959,1980
1958-01-26,Enero,26,20.8,19,1958,1956
1967-01-27,Enero,27,19.2,19,1967,2021
1966-01-28,Enero,28,22.4,22,1966,2021
2021-01-29,Enero,29,21.5,20.2,2021,2002
2013-01-30,Enero,30,20.2,20,2013,1983
2013-01-31,Enero,31,20.4,19.8,2013,1983
