fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1995-01-01,Enero,1,23.0,22.2,1995,2012
2024-01-02,Enero,2,23.1,23.0,2024,1960
2024-01-03,Enero,3,24.7,22.4,2024,1960
2016-01-04,Enero,4,24.1,22.5,2016,2014
1967-01-05,Enero,5,22.0,21.6,1967,1982
2012-01-06,Enero,6,25.8,21.3,2012,2014
1958-01-07,Enero,7,22.2,21.0,1958,2023
2016-01-08,Enero,8,23.2,23.0,2016,1999
1982-01-09,Enero,9,24.6,22.8,1982,1959
2023-01-10,Enero,10,21.9,21.6,2023,2013
2015-01-11,Enero,11,23.6,22.8,2015,1986
1995-01-12,Enero,12,22.4,22.0,1995,2014
2004-01-13,Enero,13,22.8,21.4,2004,2023
2019-01-14,Enero,14,21.9,21.2,2019,2016
2024-01-15,Enero,15,23.1,21.6,2024,1986
2004-01-16,Enero,16,21.0,20.6,2004,1950
2024-01-17,Enero,17,21.9,21.8,2024,2020
2005-01-18,Enero,18,21.4,20.6,2005,2013
1951-01-19,Enero,19,22.4,22.4,1951,1955
1966-01-20,Enero,20,25.0,23.2,1966,1981
1981-01-21,Enero,21,26.8,22.6,1981,1966
1966-01-22,Enero,22,23.0,23.0,1966,2005
1966-01-23,Enero,23,22.6,22.5,1966,1960
2004-01-24,Enero,24,22.4,21.6,2004,1966
2024-01-25,Enero,25,23.8,23.5,2024,2019
2014-01-26,Enero,26,23.8,22.7,2014,2024
2021-01-27,Enero,27,23.9,22.0,2021,1995
1968-01-28,Enero,28,26.0,25.0,1968,1961
2021-01-29,Enero,29,26.0,24.2,2021,1999
1983-01-30,Enero,30,24.8,24.4,1983,2013
1983-01-31,Enero,31,25.6,24.5,1983,2022
