fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-10-01,Octubre,1,29.8,29.2,1980,1971
2011-10-02,Octubre,2,29.1,28.3,2011,2014
2018-10-03,Octubre,3,29.4,29.2,2018,1997
1997-10-04,Octubre,4,29.2,28.8,1997,2018
2011-10-05,Octubre,5,28.5,27,2011,1964
1986-10-06,Octubre,6,28.2,27.5,1986,1964
2017-10-07,Octubre,7,28.8,27.4,2017,1962
2017-10-08,Octubre,8,29.1,27.5,2017,1967
1967-10-09,Octubre,9,28,27.2,1967,1955
2017-10-10,Octubre,10,28.6,27.2,2017,2011
1985-10-11,Octubre,11,28.8,28.8,1985,2011
1963-10-12,Octubre,12,28,27.9,1963,2011
1985-10-13,Octubre,13,29.6,29.6,1985,2011
1985-10-14,Octubre,14,29.4,28.9,1985,2011
2011-10-15,Octubre,15,28.7,28.6,2011,2017
1970-10-16,Octubre,16,26,25.3,1970,2011
2011-10-17,Octubre,17,25.1,24,2011,1970
1995-10-18,Octubre,18,26,25.2,1995,1950
2014-10-19,Octubre,19,25,24.5,2014,1964
2014-10-20,Octubre,20,29.4,25.5,2014,1964
2014-10-21,Octubre,21,28.7,24.6,2014,1996
2014-10-22,Octubre,22,27.1,25.8,2014,1963
2014-10-23,Octubre,23,27.9,25.8,2014,1963
1989-10-24,Octubre,24,24.6,24.3,1989,2017
2014-10-25,Octubre,25,27.5,24.6,2014,1989
2014-10-26,Octubre,26,27.1,25.3,2014,2016
2017-10-27,Octubre,27,26.9,25.5,2017,2016
2016-10-28,Octubre,28,26.7,25.2,2016,2006
2006-10-29,Octubre,29,27.3,25.5,2006,2016
2006-10-30,Octubre,30,26.6,26.5,2006,2014
1970-10-31,Octubre,31,24,23.8,1970,2016
