fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1994-06-01,Junio,1,36.0,34.2,1994,1999
2002-06-02,Junio,2,32.9,31.0,2002,2022
1998-06-03,Junio,3,33.0,32.6,1998,2000
1998-06-04,Junio,4,33.5,33.2,1998,1983
1983-06-05,Junio,5,35.0,31.9,1983,2003
2024-06-06,Junio,6,32.9,31.6,2024,1987
2014-06-07,Junio,7,36.0,34.2,2014,1983
2014-06-08,Junio,8,35.4,33.4,2014,1981
1981-06-09,Junio,9,34.4,33.8,1981,2014
2015-06-10,Junio,10,33.1,32.0,2015,1997
2014-06-11,Junio,11,34.4,34.2,2014,2003
2003-06-12,Junio,12,35.4,32.8,2003,2014
2003-06-13,Junio,13,36.3,35.4,2003,2017
2009-06-14,Junio,14,37.0,34.1,2009,2017
2009-06-15,Junio,15,36.7,36.3,2009,2001
2013-06-16,Junio,16,35.9,35.0,2013,2003
2013-06-17,Junio,17,35.7,34.6,2013,1982
2002-06-18,Junio,18,35.5,35.5,2002,2022
2023-06-19,Junio,19,35.5,35.0,2023,2022
2012-06-20,Junio,20,35.1,34.6,2012,2003
2002-06-21,Junio,21,35.0,33.6,2002,1986
2003-06-22,Junio,22,37.5,33.7,2003,2008
2003-06-23,Junio,23,39.5,35.0,2003,2001
2001-06-24,Junio,24,38.0,37.6,2001,2003
2001-06-25,Junio,25,41.4,37.6,2001,2003
2019-06-26,Junio,26,39.2,36.6,2019,1986
2019-06-27,Junio,27,38.0,37.6,2019,1986
2005-06-28,Junio,28,37.3,36.6,2005,1986
2015-06-29,Junio,29,35.0,34.6,2015,1990
2019-06-30,Junio,30,37.8,35.3,2019,2020
