fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-04-01,Abril,1,26.4,25.4,1980,1997
1997-04-02,Abril,2,25.2,25,1997,1980
2008-04-03,Abril,3,26.9,26,2008,2015
1999-04-04,Abril,4,27,26.8,1999,2008
1999-04-05,Abril,5,27.8,27,1999,2011
1999-04-06,Abril,6,28.6,27,1999,1967
2011-04-07,Abril,7,28.4,27.6,2011,1995
2011-04-08,Abril,8,28.8,28.3,2011,2023
1995-04-09,Abril,9,29.8,29,1995,1950
1950-04-10,Abril,10,29.8,29,1950,1995
2017-04-11,Abril,11,28.2,27.6,2017,1995
2017-04-12,Abril,12,28.8,27,2017,1995
2011-04-13,Abril,13,27.8,27.4,2011,1995
2011-04-14,Abril,14,28.4,27,2011,1977
1970-04-15,Abril,15,28.4,28.4,1970,1997
1997-04-16,Abril,16,28.4,28.3,1997,2017
1970-04-17,Abril,17,28.8,28.7,1970,2014
1970-04-18,Abril,18,29,28.9,1970,2017
2023-04-19,Abril,19,28.2,27.3,2023,2017
1952-04-20,Abril,20,27.8,27.6,1952,2023
1952-04-21,Abril,21,28,27.8,1952,1992
1977-04-22,Abril,22,27,26.6,1977,1992
1970-04-23,Abril,23,28,27.8,1970,1977
1977-04-24,Abril,24,28.4,27.6,1977,1964
1977-04-25,Abril,25,31.2,29.2,1977,2002
2023-04-26,Abril,26,31.3,28.6,2023,2008
2023-04-27,Abril,27,34.4,29.6,2023,2010
2023-04-28,Abril,28,31.8,29.6,2023,1994
1997-04-29,Abril,29,30.4,30.4,1997,2005
1997-04-30,Abril,30,31.2,29.8,1997,1994
