fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2015-04-01,Abril,1,32.1,31.1,2015,2011
1980-04-02,Abril,2,31.4,28.9,1980,2015
2006-04-03,Abril,3,31,30,2006,1980
1999-04-04,Abril,4,31.4,31,1999,2008
1999-04-05,Abril,5,31.8,30,1999,1997
1999-04-06,Abril,6,31.3,31,1999,2011
1999-04-07,Abril,7,32.2,32,1999,2011
2011-04-08,Abril,8,32.6,32,2011,1995
1995-04-09,Abril,9,33,30.2,1995,2023
1995-04-10,Abril,10,32.3,31.6,1995,2023
1999-04-11,Abril,11,31.4,30.2,1999,2023
1999-04-12,Abril,12,31.5,30.7,1999,2017
1977-04-13,Abril,13,31.4,30.5,1977,2011
2011-04-14,Abril,14,32,30.6,2011,1996
1996-04-15,Abril,15,31.2,30.6,1996,1988
2013-04-16,Abril,16,30.7,30.5,2013,2023
2014-04-17,Abril,17,32.6,32.3,2014,2013
2017-04-18,Abril,18,32.7,30.9,2017,2013
2017-04-19,Abril,19,31.1,31,2017,1985
1992-04-20,Abril,20,30.2,30,1992,1984
2002-04-21,Abril,21,30.9,30.2,2002,1952
1977-04-22,Abril,22,30.6,29.6,1977,1978
1977-04-23,Abril,23,31.6,29.8,1977,2009
1977-04-24,Abril,24,32.2,32.1,1977,2023
2023-04-25,Abril,25,34,33.2,2023,2002
2023-04-26,Abril,26,36.4,33.8,2023,2002
2023-04-27,Abril,27,36.9,32.8,2023,1992
2023-04-28,Abril,28,34.3,33.6,2023,2010
1997-04-29,Abril,29,33.9,32.4,1997,2005
1997-04-30,Abril,30,35.4,33.4,1997,1964
