indicative,name
Reus,0016A
Barcelona,0076
Girona,0367
Donostia,1024E
Bilbao,1082
Santander,1109
Oviedo,1249I
ACoruña,1387
Santiago,1428
Pontevedra,1484C
Ourense,1690A
Ourense,1690B
Soria,2030
Burgos,2331
Avila,2444
Avila,2444C
Segovia,2465
Segovia,2465A
Valladolid,2539
León,2661
Salamanca,2867
Madrid(Retiro),3195
Toledo,3259
Toledo,3260B
Caceres,3469
Caceres,3469A
CiudadReal,4121
CiudadReal,4121C
Badajoz,4452
Huelva,4605
Huelva,4642E
Cordoba,5402
Granada,5514
Sevilla,5783
Jerez,5960
Melilla,6000A
Malaga,6155A
Murcia,7031
Alicante,8025
Cuenca,8096
Valencia,8416
Castellón,8500A
Castellón,8501
Logroño,9170
Pamplona,9262
Zaragoza,9434
Lleida,9771
Lleida,9771C
Huesca,9898
Mallorca,B278
Tenerife,C447A
GranCanaria,C649I
