fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1976-12-01,Diciembre,1,20,18,1976,1983
1979-12-02,Diciembre,2,18.4,17.4,1979,1976
1953-12-03,Diciembre,3,17,15.5,1953,2007
2006-12-04,Diciembre,4,20.1,18.2,2006,2018
2006-12-05,Diciembre,5,18.8,17,2006,1965
2016-12-06,Diciembre,6,16,15.8,2016,2001
2000-12-07,Diciembre,7,20.6,17.2,2000,2010
2010-12-08,Diciembre,8,18.7,17.8,2010,1978
1978-12-09,Diciembre,9,18.8,16.6,1978,1982
1978-12-10,Diciembre,10,21.2,18.2,1978,1961
1981-12-11,Diciembre,11,18.4,17.2,1981,1978
1978-12-12,Diciembre,12,20.4,18.2,1978,1981
1981-12-13,Diciembre,13,18.2,16.8,1981,1978
1989-12-14,Diciembre,14,21.4,16.5,1989,2019
1989-12-15,Diciembre,15,21.2,16.4,1989,1987
1989-12-16,Diciembre,16,19.6,19.5,1989,2011
1989-12-17,Diciembre,17,16.8,16.6,1989,1987
1989-12-18,Diciembre,18,18,15,1989,2014
1987-12-19,Diciembre,19,17.6,16.2,1987,1993
1993-12-20,Diciembre,20,17.2,16.8,1993,1987
2012-12-21,Diciembre,21,16.9,16,2012,1971
2019-12-22,Diciembre,22,17.6,17.4,2019,1995
1981-12-23,Diciembre,23,18.2,17.4,1981,1991
2013-12-24,Diciembre,24,17.6,17.4,2013,1955
1977-12-25,Diciembre,25,17.2,15.5,1977,2019
1999-12-26,Diciembre,26,19.6,17,1999,2002
1999-12-27,Diciembre,27,19.8,17.4,1999,2002
2019-12-28,Diciembre,28,15.7,14.8,2019,1974
2017-12-29,Diciembre,29,15.7,15.4,2017,1978
2017-12-30,Diciembre,30,17.9,17.2,2017,1981
1994-12-31,Diciembre,31,20,17.1,1994,2018
