fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1973-12-01,Diciembre,1,24,24,1973,1996
1976-12-02,Diciembre,2,23.4,22.4,1976,1992
1950-12-03,Diciembre,3,23.4,22.4,1950,1976
1950-12-04,Diciembre,4,23.4,23,1950,2018
1994-12-05,Diciembre,5,22.4,22,1994,2018
1976-12-06,Diciembre,6,22.6,21.8,1976,1992
1976-12-07,Diciembre,7,22.6,22,1976,2007
1976-12-08,Diciembre,8,23.2,23,1976,2009
2010-12-09,Diciembre,9,23.4,22.8,2010,1978
1961-12-10,Diciembre,10,23.6,22.4,1961,1994
2020-12-11,Diciembre,11,23.5,23.2,2020,2021
1998-12-12,Diciembre,12,24.6,22.4,1998,1979
1978-12-13,Diciembre,13,23.4,23.2,1978,1981
1981-12-14,Diciembre,14,23.8,23.4,1981,2000
1981-12-15,Diciembre,15,23.2,22.4,1981,1958
2015-12-16,Diciembre,16,22.8,22.6,2015,1981
2015-12-17,Diciembre,17,22.7,22,2015,1987
2004-12-18,Diciembre,18,22,21,2004,2012
2015-12-19,Diciembre,19,21.3,20.3,2015,2014
2012-12-20,Diciembre,20,21.8,21.4,2012,2002
2019-12-21,Diciembre,21,23.6,22.5,2019,2011
2012-12-22,Diciembre,22,22.5,22.2,2012,1991
2019-12-23,Diciembre,23,23.9,23,2019,1991
2019-12-24,Diciembre,24,22.9,22.2,2019,2002
1974-12-25,Diciembre,25,23.6,23.3,1974,2019
1968-12-26,Diciembre,26,21.4,21,1968,1959
2021-12-27,Diciembre,27,22.7,22,2021,1959
1990-12-28,Diciembre,28,21.4,21.4,1990,2021
2009-12-29,Diciembre,29,22.4,22.4,2009,2021
2001-12-30,Diciembre,30,23.4,22.6,2001,1994
2015-12-31,Diciembre,31,24.1,23.2,2015,1994
