fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1952-12-01,Diciembre,1,17.9,17.6,1952,2015
1985-12-02,Diciembre,2,19.2,17.6,1985,1979
1979-12-03,Diciembre,3,18,17.4,1979,1974
2015-12-04,Diciembre,4,18.4,18.2,2015,2018
2018-12-05,Diciembre,5,21.1,19,2018,2015
2018-12-06,Diciembre,6,18.2,17.2,2018,2010
1977-12-07,Diciembre,7,16.4,16.4,1977,2000
2010-12-08,Diciembre,8,18.1,16.4,2010,1978
2010-12-09,Diciembre,9,18.6,17.6,2010,1978
1978-12-10,Diciembre,10,21,20,1978,1976
1976-12-11,Diciembre,11,16.4,16.2,1976,2018
1978-12-12,Diciembre,12,16.6,16.4,1978,1996
1955-12-13,Diciembre,13,17,16.4,1955,1994
1998-12-14,Diciembre,14,18.6,18,1998,1956
1998-12-15,Diciembre,15,19,18.8,1998,2015
1989-12-16,Diciembre,16,21,17.8,1989,2015
1953-12-17,Diciembre,17,17.5,17.4,1953,2015
2015-12-18,Diciembre,18,16.6,15.2,2015,2004
2015-12-19,Diciembre,19,19,15.6,2015,2014
2015-12-20,Diciembre,20,19,16.1,2015,2019
1989-12-21,Diciembre,21,18.6,17.8,1989,2003
2021-12-22,Diciembre,22,16.9,16.6,2021,1995
2002-12-23,Diciembre,23,19.4,16.2,2002,1952
2019-12-24,Diciembre,24,17.8,17.2,2019,2012
1995-12-25,Diciembre,25,17.2,16.8,1995,1983
2019-12-26,Diciembre,26,16,15.6,2019,1977
2021-12-27,Diciembre,27,16.4,16.1,2021,2019
2009-12-28,Diciembre,28,16,15.6,2009,2021
2009-12-29,Diciembre,29,20.2,15.6,2009,1974
2021-12-30,Diciembre,30,18.3,16.8,2021,1981
2021-12-31,Diciembre,31,20.7,16.5,2021,1953
